date,open,high,low,close,volume
2026-03-02,100.0,100.11,99.94,100.02,124188
2026-03-03,100.02,101.86,99.07,101.39,85216
2026-03-04,101.39,101.45,101.18,101.3,81592
2026-03-05,101.3,103.64,100.61,103.41,112696
2026-03-06,103.41,104.71,103.39,104.05,128349
2026-03-09,104.05,104.28,103.62,104.13,89328
2026-03-10,104.13,105.9,103.94,105.78,130849
2026-03-11,105.78,107.15,105.23,106.43,123783
2026-03-12,106.43,106.73,102.03,102.48,129764
2026-03-13,102.48,104.87,101.81,104.14,114641
2026-03-16,104.14,104.39,104.08,104.25,84787
2026-03-17,104.25,105.83,104.02,105.81,96678
2026-03-18,105.81,106.17,104.82,105.05,96018
2026-03-19,105.05,106.77,104.77,106.1,116547
2026-03-20,106.1,108.29,105.85,107.58,139371
2026-03-23,107.58,109.58,107.09,109.17,121076
2026-03-24,109.17,111.67,109.15,110.94,98927
2026-03-25,110.94,111.64,110.6,111.6,136574
2026-03-26,111.6,113.15,111.32,112.84,134872
2026-03-27,112.84,113.22,111.66,111.76,94797
2026-03-30,111.76,111.91,109.93,110.85,103964
2026-03-31,110.85,111.19,107.67,109.37,110571
2026-04-01,109.37,110.12,108.83,110.04,127524
2026-04-02,110.04,111.88,109.95,111.72,102897
2026-04-03,111.72,113.95,110.74,113.93,80688
2026-04-06,113.93,114.07,112.86,113.61,112218
2026-04-07,113.61,114.33,113.2,113.62,107223
2026-04-08,113.62,115.95,113.32,114.97,95803
2026-04-09,114.97,114.97,113.35,114.21,97906
2026-04-10,114.21,114.66,112.25,112.78,89170
2026-04-13,112.78,113.8,112.67,113.18,80034
2026-04-14,113.18,113.23,111.41,111.5,135745
2026-04-15,111.5,114.58,111.44,113.93,132680
2026-04-16,113.93,114.9,113.86,114.7,109159
2026-04-17,114.7,117.76,114.67,117.4,108516
2026-04-20,117.4,117.78,116.7,116.82,132345
2026-04-21,116.82,116.98,115.31,116.09,92069
2026-04-22,116.09,116.71,114.2,115.71,118992
2026-04-23,115.71,115.94,113.91,114.17,100285
2026-04-24,114.17,115.51,113.98,115.21,93213
2026-04-27,115.21,117.8,115.06,117.5,131578
2026-04-28,117.5,121.52,117.34,121.19,120138
2026-04-29,121.19,121.89,120.59,121.63,108360
2026-04-30,121.63,121.83,120.17,121.06,91424
2026-05-01,121.06,123.01,120.56,122.7,123744
2026-05-04,122.7,124.45,121.43,123.78,85905
2026-05-05,123.78,124.04,122.6,122.84,91412
2026-05-06,122.84,123.34,122.0,122.17,96712
2026-05-07,122.17,123.55,121.24,122.42,113019
2026-05-08,122.42,125.59,121.83,123.78,130161
2026-05-11,123.78,127.84,123.61,127.62,109138
2026-05-12,127.62,127.73,126.59,127.08,83518
2026-05-13,127.08,128.08,123.88,123.97,107300
2026-05-14,123.97,128.12,123.38,127.0,139725
2026-05-15,127.0,127.28,124.63,124.86,138122
2026-05-18,124.86,126.77,124.56,126.22,124878
2026-05-19,126.22,128.69,125.24,128.46,89445
2026-05-20,128.46,128.85,128.41,128.65,91149
2026-05-21,128.65,129.07,126.89,126.91,133417
2026-05-22,126.91,127.99,126.24,127.97,117162
