date,open,high,low,close,volume
2026-03-20,101.0,105.0,100.51,104.42,107868
2026-03-23,104.42,104.54,101.76,102.39,100029
2026-03-24,102.39,103.19,102.26,102.86,229820
2026-03-25,102.86,104.12,101.99,103.72,245792
2026-03-26,103.72,103.98,102.6,103.14,148404
2026-03-27,103.14,103.73,100.89,101.45,231244
2026-03-30,101.45,103.42,100.73,102.62,156168
2026-03-31,102.62,105.46,102.19,105.43,70565
2026-04-01,105.43,105.78,104.64,104.89,81999
2026-04-02,104.89,105.33,104.69,104.97,62074
2026-04-03,104.97,106.47,103.93,105.36,147286
2026-04-06,105.36,105.86,103.67,104.13,247834
2026-04-07,104.13,104.85,103.87,103.98,80744
2026-04-08,103.98,104.42,102.33,103.17,215686
2026-04-09,103.17,105.56,102.93,104.93,116480
2026-04-10,104.93,106.84,104.47,106.44,121818
2026-04-13,106.44,106.53,102.53,103.67,221563
2026-04-14,103.67,103.99,103.13,103.41,102377
2026-04-15,103.41,108.94,103.34,108.49,105473
2026-04-16,108.49,110.25,108.43,109.53,190941
2026-04-17,109.53,110.34,107.76,108.65,126806
2026-04-20,108.65,111.25,108.45,110.92,189885
2026-04-21,110.92,111.28,108.73,109.28,245520
2026-04-22,109.28,109.74,107.63,107.7,95661
2026-04-23,107.7,110.71,107.41,110.28,201130
2026-04-24,110.28,110.83,108.63,108.99,50827
2026-04-27,108.99,109.52,107.61,108.15,249792
2026-04-28,108.15,111.92,107.76,111.83,67542
2026-04-29,111.83,112.32,110.52,111.29,95916
2026-04-30,111.29,112.43,110.03,111.84,158845
