date,open,high,low,close,volume
2024-12-31,101.0,105.0,100.51,104.42,107868
2025-01-01,104.42,104.54,101.76,102.39,100029
2025-01-02,102.39,103.19,102.26,102.86,229820
2025-01-03,102.86,104.12,101.99,103.72,245792
2025-01-06,103.72,103.98,102.6,103.14,148404
2025-01-07,103.14,103.73,100.89,101.45,231244
2025-01-08,101.45,103.42,100.73,102.62,156168
2025-01-09,102.62,105.46,102.19,105.43,70565
2025-01-10,105.43,105.78,104.64,104.89,81999
2025-01-13,104.89,105.33,104.69,104.97,62074
2025-01-14,104.97,106.47,103.93,105.36,147286
2025-01-15,105.36,105.86,103.67,104.13,247834
2025-01-16,104.13,104.85,103.87,103.98,80744
2025-01-17,103.98,104.42,102.33,103.17,215686
2025-01-20,103.17,105.56,102.93,104.93,116480
2025-01-21,104.93,106.84,104.47,106.44,121818
2025-01-22,106.44,106.53,102.53,103.67,221563
2025-01-23,103.67,103.99,103.13,103.41,102377
2025-01-24,103.41,108.94,103.34,108.49,105473
2025-01-27,108.49,110.25,108.43,109.53,190941
2025-01-28,109.53,110.34,107.76,108.65,126806
2025-01-29,108.65,111.25,108.45,110.92,189885
2025-01-30,110.92,111.28,108.73,109.28,245520
2025-01-31,109.28,109.74,107.63,107.7,95661
2025-02-03,107.7,110.71,107.41,110.28,201130
2025-02-04,110.28,110.83,108.63,108.99,50827
2025-02-05,108.99,109.52,107.61,108.15,249792
2025-02-06,108.15,111.92,107.76,111.83,67542
2025-02-07,111.83,112.32,110.52,111.29,95916
2025-02-10,111.29,112.43,110.03,111.84,158845
2025-02-11,111.84,112.01,110.94,111.42,229356
2025-02-12,111.42,111.74,110.15,110.67,93708
2025-02-13,110.67,113.51,110.14,112.0,127079
2025-02-14,112.0,112.26,106.35,106.75,144068
2025-02-17,106.75,106.99,104.34,105.59,66065
2025-02-18,105.59,109.28,105.14,109.14,118398
2025-02-19,109.14,109.68,109.11,109.27,218400
2025-02-20,109.27,110.25,108.56,109.68,82991
2025-02-21,109.68,110.1,107.33,108.37,72209
2025-02-24,108.37,108.6,106.81,107.18,148365
2025-02-25,107.18,107.19,103.71,104.92,204548
2025-02-26,104.92,106.54,104.83,105.4,208558
2025-02-27,105.4,107.16,105.0,106.21,129234
2025-02-28,106.21,106.7,104.16,104.86,83682
2025-03-03,104.86,105.61,104.85,105.1,205294
2025-03-04,105.1,106.23,102.8,104.77,200426
2025-03-05,104.77,107.3,104.45,106.81,235786
2025-03-06,106.81,107.04,106.17,106.51,61581
2025-03-07,106.51,107.04,106.43,106.82,96818
2025-03-10,106.82,107.16,106.31,106.67,59312
2025-03-11,106.67,108.22,105.07,105.26,149525
2025-03-12,105.26,106.55,102.69,103.35,191876
2025-03-13,103.35,104.06,103.05,103.87,70171
2025-03-14,103.87,106.11,103.11,106.1,101017
2025-03-17,106.1,108.31,105.86,107.99,224927
2025-03-18,107.99,109.65,106.47,106.57,152179
2025-03-19,106.57,106.65,101.12,101.51,225513
2025-03-20,101.51,102.05,97.29,97.42,139680
2025-03-21,97.42,100.42,97.25,99.83,185947
2025-03-24,99.83,103.16,98.47,102.75,227848
2025-03-25,102.75,103.82,101.52,103.26,134266
2025-03-26,103.26,104.17,102.21,103.04,76915
2025-03-27,103.04,106.31,102.42,105.5,60707
2025-03-28,105.5,106.42,104.98,106.01,152549
2025-03-31,106.01,107.21,103.83,104.45,135857
