ticker,name,gics_sector,gics_industry,source
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,sp500
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",ndx100+sp500
ABBV,AbbVie,Health Care,Biotechnology,sp500
ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ndx100+sp500
ABT,Abbott Laboratories,Health Care,Health Care Equipment,sp500
ACGL,Arch Capital Group,Financials,Property & Casualty Insurance,sp500
ACN,Accenture,Information Technology,IT Consulting & Other Services,sp500
ADBE,Adobe Inc.,Information Technology,Application Software,ndx100+sp500
ADI,Analog Devices,Information Technology,Semiconductors,ndx100+sp500
ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,sp500
ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,ndx100+sp500
ADSK,Autodesk,Information Technology,Application Software,ndx100+sp500
AEE,Ameren,Utilities,Multi-Utilities,sp500
AEP,American Electric Power,Utilities,Electric Utilities,ndx100+sp500
AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,sp500
AFL,Aflac,Financials,Life & Health Insurance,sp500
AIG,American International Group,Financials,Multi-line Insurance,sp500
AIZ,Assurant,Financials,Multi-line Insurance,sp500
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,sp500
AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,sp500
ALB,Albemarle Corporation,Materials,Specialty Chemicals,sp500
ALGN,Align Technology,Health Care,Health Care Supplies,sp500
ALL,Allstate,Financials,Property & Casualty Insurance,sp500
ALLE,Allegion,Industrials,Building Products,sp500
ALNY,Alnylam Pharmaceuticals,Biotechnology,Health Care,ndx100
AMAT,Applied Materials,Information Technology,Semiconductor Materials & Equipment,ndx100+sp500
AMCR,Amcor,Materials,Paper & Plastic Packaging Products & Materials,sp500
AMD,Advanced Micro Devices,Information Technology,Semiconductors,ndx100+sp500
AME,Ametek,Industrials,Electrical Components & Equipment,sp500
AMGN,Amgen,Health Care,Biotechnology,ndx100+sp500
AMP,Ameriprise Financial,Financials,Asset Management & Custody Banks,sp500
AMT,American Tower,Real Estate,Telecom Tower REITs,sp500
AMZN,Amazon,Consumer Discretionary,Broadline Retail,ndx100+sp500
ANET,Arista Networks,Information Technology,Communications Equipment,sp500
AON,Aon plc,Financials,Insurance Brokers,sp500
AOS,A. O. Smith,Industrials,Building Products,sp500
APA,APA Corporation,Energy,Oil & Gas Exploration & Production,sp500
APD,Air Products,Materials,Industrial Gases,sp500
APH,Amphenol,Information Technology,Electronic Components,sp500
APO,Apollo Global Management,Financials,Asset Management & Custody Banks,sp500
APP,AppLovin,Information Technology,Application Software,ndx100+sp500
APTV,Aptiv,Consumer Discretionary,Automotive Parts & Equipment,sp500
ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,sp500
ARES,Ares Management,Financials,Asset Management & Custody Banks,sp500
ARM,Arm Holdings,Semiconductors,Technology,ndx100
ASML,ASML Holding,Industrial Machinery,Technology,ndx100
ATO,Atmos Energy,Utilities,Gas Utilities,sp500
AVB,AvalonBay Communities,Real Estate,Multi-Family Residential REITs,sp500
AVGO,Broadcom,Information Technology,Semiconductors,ndx100+sp500
AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,sp500
AWK,American Water Works,Utilities,Water Utilities,sp500
AXON,Axon Enterprise,Industrials,Aerospace & Defense,ndx100+sp500
AXP,American Express,Financials,Consumer Finance,sp500
AZO,AutoZone,Consumer Discretionary,Automotive Retail,sp500
BA,Boeing,Industrials,Aerospace & Defense,sp500
BAC,Bank of America,Financials,Diversified Banks,sp500
BALL,Ball Corporation,Materials,"Metal, Glass & Plastic Containers",sp500
BAX,Baxter International,Health Care,Health Care Equipment,sp500
BBY,Best Buy,Consumer Discretionary,Computer & Electronics Retail,sp500
BDX,Becton Dickinson,Health Care,Health Care Equipment,sp500
BEN,Franklin Resources,Financials,Asset Management & Custody Banks,sp500
BF-B,Brown–Forman,Consumer Staples,Distillers & Vintners,sp500
BG,Bunge Global,Consumer Staples,Agricultural Products & Services,sp500
BIIB,Biogen,Health Care,Biotechnology,sp500
BKNG,Booking Holdings,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",ndx100+sp500
BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,ndx100+sp500
BLDR,Builders FirstSource,Industrials,Building Products,sp500
